NAME,LOCATION_CLEAN,CUISINES,PRIMARY_CUISINE,PRIMARY_REST_TYPE,RATE,VOTES,APPROX_COST_FOR_TWO_PEOPLE,BOOK_TABLE,ONLINE_ORDER
Utsava Grand,Majestic,"South Indian, North Indian, Chinese",South Indian,Quick Bites,3.6,14,300.0,False,False
eat.fit,Indiranagar,"Healthy Food, North Indian, Biryani, Continental, Desserts",Healthy Food,Quick Bites,3.9,44,300.0,True,True
BIB - Breakfast in the Box,Electronic City,"American, Sandwich",American,Quick Bites,3.9,56,600.0,False,True
Nagarjuna,Indiranagar,"Andhra, Biryani",Andhra,Casual Dining,4.2,1926,850.0,False,False
Lassi Pot,BTM,Beverages,Beverages,Beverage Shop,3.3,4,250.0,False,True
Le Roll Cafe,Kammanahalli,"Fast Food, Beverages, Rolls",Fast Food,Quick Bites,3.9,57,300.0,False,True
Ruchie Rich,Electronic City,"Biryani, Fast Food, North Indian",Biryani,Quick Bites,3.5,134,200.0,False,False
Asha Sweets Centre,Malleshwaram,"Mithai, Street Food",Mithai,Sweet Shop,4.0,73,250.0,False,True
Meat and Eat,Whitefield,"Fast Food, Burger",Fast Food,Quick Bites,3.4,28,500.0,False,True
Chinita Real Mexican Food,Koramangala 5th Block,Mexican,Mexican,Casual Dining,4.5,740,1200.0,False,False
OrganicFeast,Electronic City,"North Indian, Chinese, Healthy Food",North Indian,Quick Bites,2.9,45,400.0,False,True
Tayabbs,Indiranagar,"Rolls, North Indian, Fast Food",Rolls,Quick Bites,4.0,739,500.0,False,True
The Spicy Kitchen,Thippasandra,"Arabian, Rolls",Arabian,Quick Bites,3.1,17,300.0,False,True
Sannidhi Grand,Kammanahalli,"South Indian, North Indian, Chinese, Street Food",South Indian,Quick Bites,3.8,52,300.0,False,True
Hotel Ramprasad,Brigade Road,"South Indian, Chinese",South Indian,Quick Bites,4.2,94,300.0,False,True
Aastha Bengali Mess,Yeshwantpur,"Chinese, Bengali",Chinese,Quick Bites,3.9,131,250.0,False,True
Tumbites,Bellandur,North Indian,North Indian,Quick Bites,3.9,125,200.0,False,True
Central Cafe,Marathahalli,"Beverages, Fast Food",Beverages,Beverage Shop,3.2,4,300.0,False,True
Chulha Chauki Da Dhaba,Kalyan Nagar,North Indian,North Indian,Casual Dining,4.1,1286,800.0,False,True
Burger King,Electronic City,"Burger, Fast Food, Beverages",Burger,Quick Bites,3.8,560,600.0,False,True
World In A Bowl,Indiranagar,"Continental, North Indian, Desserts, Beverages",Continental,Delivery,2.9,40,600.0,False,True
Yum In My Tum,BTM,"Chinese, Continental, Fast Food, Healthy Food",Chinese,Quick Bites,4.2,120,300.0,False,True
Al Khansah,Bellandur,"North Indian, Mughlai, Biryani, Chinese",North Indian,Casual Dining,3.9,373,600.0,False,True
The Night Watch Express,Koramangala 1st Block,"North Indian, Chinese",North Indian,Takeaway,3.0,53,500.0,False,True
